country;type;channel_id;name;access;subscribers;category;category_native;reach;comment_index;time
ru;chat;@phuket_toptravel;Пхукет | Комьюнити | Чат;public;1882;blogs;Блоги;36,0;51,0;2023-11-24 15:15:20.831436
ru;chat;@montyan_chat;Чатик #МОНТЯН!;public;7691;blogs;Блоги;9500,0;9200,0;2023-11-24 15:15:20.831436
ru;chat;@Deepchat7;Deep🤢Chat;public;16815;blogs;Блоги;12100,0;7600,0;2023-11-24 15:15:20.831436
ru;chat;@MeatOlimp;Клуб мясопереработчиков;public;2180;blogs;Блоги;61,0;56,0;2023-11-24 15:15:20.831436
ru;chat;@mamochki70;Мамочки Томск | Мамы Томск | Мамочки |Жители Томск| Чат Томск;public;1557;blogs;Блоги;25,0;61,0;2023-11-24 15:15:20.831436
ru;chat;@VAZON_MLBB;𝐕𝐀𝐙𝐎𝐍 🪷 | 𝐌𝐨𝐛𝐢𝐥𝐞 𝐋𝐞𝐠𝐞𝐧𝐝𝐬.;public;1744;blogs;Блоги;13600,0;756,0;2023-11-24 15:15:20.831436
ru;chat;@doctorbobrovskiy1;Доктор Бобровский | Кемерово;public;999;blogs;Блоги;0,0;1,0;2023-11-24 15:15:20.831436
ru;chat;@naehali_chat;Понаехали Chat;public;2026;blogs;Блоги;5100,0;1500,0;2023-11-24 15:15:20.831436
ru;chat;@Lodisvet2;ЧАТ у Светланы ЛОДиСВЕТ;public;1899;blogs;Блоги;966,0;1000,0;2023-11-24 15:15:20.831436
ru;chat;@nevesta88;Женихи и Невесты ❤️;public;392;blogs;Блоги;14,0;1,0;2023-11-24 15:15:20.831436
ru;chat;@chat_vezhlivye_zlye;Чат Vежливые и Zлые;public;2218;blogs;Блоги;499,0;47,0;2023-11-24 15:15:20.831436
ru;chat;@tabasaran_chat;Табасаран;public;423;blogs;Блоги;2500,0;308,0;2023-11-24 15:15:20.831436
ru;chat;@kuzichev_chat;Кузичев Chat;public;3788;blogs;Блоги;5100,0;2100,0;2023-11-24 15:15:20.831436
ru;chat;@nakedmoleratchat;Голый землекоп Chat;public;1832;blogs;Блоги;262,0;588,0;2023-11-24 15:15:20.831436
ru;chat;@junnot_chat;Frontend chat 🙂🇺🇦;public;263;blogs;Блоги;12,0;135,0;2023-11-24 15:15:20.831436
ru;chat;@rainychatt;Рэйни;public;877;blogs;Блоги;5700,0;877,0;2023-11-24 15:15:20.831436
ru;chat;@ajshwisndy;Нужный чат. Москва;public;483;blogs;Блоги;4,0;9,0;2023-11-24 15:15:20.831436
ru;chat;@mozg_mozg777;Включаем МОЗГ - Ответы на Вопросы;public;1170;blogs;Блоги;165,0;5,0;2023-11-24 15:15:20.831436
ru;chat;@ppollishesss;POLINKINS chat;public;568;blogs;Блоги;2000,0;810,0;2023-11-24 15:15:20.831436
ru;chat;@olgaswellness;Философия Здоровья и Красоты;public;73;blogs;Блоги;207,0;32,0;2023-11-24 15:15:14.769662
ru;chat;@chatsokolovsky;🇺🇦 Чат Соколовского 🇷🇺;public;693;blogs;Блоги;412,0;676,0;2023-11-24 15:15:20.831436
ru;chat;@WhatDontYouLoveUsAnymoreChat;Архитектор Мендисабаль: патриот и спермобак.;public;883;blogs;Блоги;5100,0;514,0;2023-11-24 15:15:20.831436
ru;chat;@VadimShegalov;🔵 Вадим Шегалов - Новая Группа;public;1609;blogs;Блоги;190,0;266,0;2023-11-24 15:15:20.831436
ru;chat;@tkineshma_chat;Типичная Кинешма. Чат;public;240;blogs;Блоги;222,0;268,0;2023-11-24 15:15:20.831436
ru;chat;@payton_moormeier_chat;ПЭЙТОН | PAYTON MOORMEIER - Чат;public;996;blogs;Блоги;1200,0;209,0;2023-11-24 15:15:20.831436
ru;chat;@similchat;similchat;public;71;blogs;Блоги;64,0;24,0;2023-11-24 15:15:08.625666
ru;chat;@bookerdechat;БУКЕРДЧАТ;public;526;blogs;Блоги;1400,0;1400,0;2023-11-24 15:15:20.831436
ru;chat;@rayagro;📌 Чат РайАгро;public;209;blogs;Блоги;8,0;11,0;2023-11-24 15:15:20.831436
ru;chat;@reklamainstagram_new;Реклама у блогеров |Биржа|;public;172;blogs;Блоги;418,0;69,0;2023-11-24 15:15:14.769662
ru;chat;@russianlittleowl;Parliament of Owls;public;320;blogs;Блоги;474,0;138,0;2023-11-24 15:15:20.831436
ru;chat;@hello_galya;ХАЛЯ АТМЕНА;public;385;blogs;Блоги;1700,0;202,0;2023-11-24 15:15:20.831436
ru;chat;@zeldor_balashikha;Желдор.;public;79;blogs;Блоги;141,0;14,0;2023-11-24 15:15:14.769662
ru;chat;@Sad_s_Catherine_Govorova;Группа Катерины Говоровой;public;446;blogs;Блоги;906,0;156,0;2023-11-24 15:15:20.831436
ru;chat;@nylon_tights;SSA Nylon Pantyhose talks;public;125;blogs;Блоги;70,0;55,0;2023-11-24 15:15:14.769662
ru;chat;@apiratorna9;Апираторная/мойшавор;public;358;blogs;Блоги;1500,0;751,0;2023-11-24 15:15:20.831436
ru;chat;@deathshowtop11;Дез Chat;public;465;blogs;Блоги;329,0;325,0;2023-11-24 15:15:20.831436
ru;chat;@rostovchanki_chat;Ростовчанки - женский чат Ростов-на-Дону;public;101;blogs;Блоги;23,0;34,0;2023-11-24 15:15:14.769662
ru;chat;@kivvi_chatik;Киввинчик;public;59;blogs;Блоги;296,0;19,0;2023-11-24 15:15:14.769662
ru;chat;@freebalashiham;Отдам Даром Балашиха Москва 🏨;public;78;blogs;Блоги;0,0;0,0;2023-11-24 15:15:14.769662
ru;chat;@freedomvos;Даром Домодедово Востряково 🏦;public;63;blogs;Блоги;0,0;1,0;2023-11-24 15:15:08.625666
ru;chat;@avvablog_chat;Avvablog - комментарии;public;394;blogs;Блоги;3500,0;621,0;2023-11-24 15:15:20.831436
ru;chat;@workreutovnov;Услуги Реутов | Новокосино МСК ⛪;public;54;blogs;Блоги;0,0;0,0;2023-11-24 15:15:08.625666
ru;chat;@gabrulya;Шапито•Лжешапито•злые падлы;public;765;blogs;Блоги;3900,0;505,0;2023-11-24 15:15:20.831436
ru;chat;@AntiFemboi1;ЧВК АНТИ ФЕМБОЙ;public;46;blogs;Блоги;304,0;36,0;2023-11-24 15:15:14.769662
ru;chat;@workbalashiham;Услуги Мастера Балашиха Москва 🏨;public;63;blogs;Блоги;0,0;0,0;2023-11-24 15:15:08.625666
ru;chat;@audio_rwchat;Audio RW ЧАТ;public;73;blogs;Блоги;297,0;39,0;2023-11-24 15:15:14.769662
ru;chat;@alexa_mzp;Алекса Оник;public;406;blogs;Блоги;187,0;362,0;2023-11-24 15:15:20.831436
ru;chat;@freelitkarinomsk;Отдам Даром Лыткарино Москва 🏩;public;72;blogs;Блоги;0,0;0,0;2023-11-24 15:15:08.625666
ru;chat;@sNakedNest;sNaked Nest;public;147;blogs;Блоги;498,0;137,0;2023-11-24 15:15:14.769662
ru;chat;@AOmurmanskchat;Чат Арктического обозревателя;public;157;blogs;Блоги;469,0;306,0;2023-11-24 15:15:14.769662
ru;chat;@popovrtrchat;Евгений Попов Chat;public;791;blogs;Блоги;901,0;1600,0;2023-11-24 15:15:20.831436
ru;chat;@dvoretskovchat;ДВОРЕЦКОВ ЧАТ;public;913;blogs;Блоги;3900,0;405,0;2023-11-24 15:15:20.831436
ru;chat;@balashiham;Балашиха Москва 🏨;public;67;blogs;Блоги;0,0;0,0;2023-11-24 15:15:08.625666
ru;chat;@workdomvos;Услуги Домодедово Востряково 🏦;public;55;blogs;Блоги;0,0;0,0;2023-11-24 15:15:08.625666
ru;chat;@chat_archivarius;🅰️ Чат Архивариуса;public;60;blogs;Блоги;84,0;176,0;2023-11-24 15:15:14.769662
ru;chat;@reutovnov;Реутов | Новокосино МСК ⛪;public;62;blogs;Блоги;0,0;0,0;2023-11-24 15:15:08.625666
ru;chat;@comment_da;Чат Дорогой Рекомендации;public;75;blogs;Блоги;2,0;22,0;2023-11-24 15:15:08.625666
ru;chat;@sobaken_sochi;Домашние питомцы Сочи;public;131;blogs;Блоги;14,0;8,0;2023-11-24 15:15:14.769662
ru;chat;@gastrofestbychat;GASTROFEST.BY CHAT;public;134;blogs;Блоги;3,0;16,0;2023-11-24 15:15:14.769662
ru;chat;@litkarinomsk;Лыткарино Москва 🏩;public;59;blogs;Блоги;0,0;0,0;2023-11-24 15:15:08.625666
ru;chat;@domvos;Домодедово Востряково 🏦;public;63;blogs;Блоги;0,0;0,0;2023-11-24 15:15:08.625666
ru;chat;@nerealnue;@nerealnue;public;151;blogs;Блоги;688,0;53,0;2023-11-24 15:15:14.769662
ru;chat;@anetrahmetchat;Посидим попиздим;public;681;blogs;Блоги;5600,0;3100,0;2023-11-24 15:15:20.831436
